_id,hilo,total_retweets,total_favoritos,total_replies,total_hashtags,emocion_max_1,emocion_max_2,emocion_moda_1,emocion_moda_2,emocion_media_1,emocion_media_2,emocion_presente_1,emocion_presente_2,usuario,user_total_followers,user_total_friends,user_total_status,user_puntaje_sigmo,user_verificado
ObjectId("5cf6de746b361d31fc1b34b7"),1,94,388,29,1,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,3311036150,15959,1046,18891,1.0455444362409818,true
ObjectId("5cf6de746b361d31fc1b34b8"),2,204,301,28,7,Fear,Joy,Fear,Joy,Fear,Joy,Fear,Joy,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b34b9"),3,9,16,7,0,Fear,Joy,Sadness,Fear,Joy,Fear,Fear,Joy,857087659008815105,2902,280,20144,1.0041002957674237,false
ObjectId("5cf6de746b361d31fc1b34ba"),4,204,229,27,1,Sadness,Surprise,Joy,Disgust,Joy,Surprise,Joy,Sadness,305073570,94280,1054,20622,1.2364186016587972,true
ObjectId("5cf6de746b361d31fc1b34bb"),5,94,250,14,1,Fear,Joy,Joy,Fear,Joy,Fear,Fear,Joy,856850515,528,647,1176,0.7145223871602987,false
ObjectId("5cf6de746b361d31fc1b34bc"),6,514,686,32,1,Surprise,Joy,Joy,Anger,Joy,Surprise,Joy,Surprise,34113439,349243,5015,119606,1.17929943006988,true
ObjectId("5cf6de746b361d31fc1b34bd"),7,879,1137,51,0,Joy,Anger,Joy,Fear,Joy,Fear,Joy,Fear,30244119,35370,1982,20782,1.0584840005653757,false
ObjectId("5cf6de746b361d31fc1b34be"),8,95,93,11,2,Joy,Disgust,Joy,Surprise,Joy,Surprise,Joy,Surprise,15554922,62426,6079,48054,1.0023973906367634,true
ObjectId("5cf6de746b361d31fc1b34bf"),9,560,782,71,18,Joy,Fear,Fear,Joy,Joy,Fear,Joy,Fear,4588225574,2550,1443,28992,0.819005992775281,false
ObjectId("5cf6de746b361d31fc1b34c0"),10,589,2386,58,0,Joy,Surprise,Fear,Joy,Joy,Fear,Joy,Fear,3223426134,670013,37,51875,2.258361470728224,true
ObjectId("5cf6de746b361d31fc1b34c1"),11,113,89,18,19,Joy,Fear,Joy,Sadness,Joy,Fear,Joy,Sadness,941163760252866562,6064,6671,6561,0.7841272883727834,false
ObjectId("5cf6de746b361d31fc1b34c2"),12,79,119,11,14,Fear,Joy,Fear,Joy,Joy,Fear,Joy,Fear,875014353778610177,3939,43,200,1.360151537346563,true
ObjectId("5cf6de746b361d31fc1b34c3"),13,60,105,15,3,Joy,Surprise,Fear,Surprise,Fear,Joy,Fear,Surprise,787318013817155584,8427,9170,50645,0.7910912705337847,false
ObjectId("5cf6de746b361d31fc1b34c4"),14,190,188,20,16,Joy,Disgust,Joy,Fear,Joy,Fear,Joy,Fear,3213896841,3273,3014,40270,0.7847406131208424,false
ObjectId("5cf6de746b361d31fc1b34c5"),15,1644,2556,291,1,Fear,Surprise,Joy,Fear,Joy,Fear,Anger,Fear,9427572,133320,14423,39842,0.993373408952516,false
ObjectId("5cf6de746b361d31fc1b34c6"),16,105,522,25,0,Joy,Fear,Joy,Anger,Joy,Fear,Joy,Fear,19563366,66227,2217,33520,1.1093153019714812,true
ObjectId("5cf6de746b361d31fc1b34c7"),17,274,350,15,1,Fear,Joy,Fear,Joy,Fear,Joy,Surprise,Fear,1484990160,4302,1188,8362,0.891683236654616,false
ObjectId("5cf6de746b361d31fc1b34c8"),18,52,77,11,7,Fear,Joy,Fear,Joy,Fear,Joy,Fear,Joy,747544757727952897,35823,28441,58165,0.8350215193986962,false
ObjectId("5cf6de746b361d31fc1b34c9"),19,22,28,10,4,Fear,Anger,Joy,Fear,Joy,Fear,Fear,Joy,947828772362956800,6225,2857,26613,0.8514713047595716,false
ObjectId("5cf6de746b361d31fc1b34ca"),20,383,492,38,14,Fear,Joy,Joy,Anger,Joy,Fear,Surprise,Joy,784905447979352064,13141,1562,45372,0.9820461965509607,false
ObjectId("5cf6de746b361d31fc1b34cb"),21,2085,6250,156,1,Fear,Sadness,Fear,Joy,Joy,Anger,Anger,Joy,744616500485558273,17502,782,34133,1.0897206229036422,false
ObjectId("5cf6de746b361d31fc1b34cc"),22,674,872,81,10,Joy,Disgust,Fear,Surprise,Joy,Fear,Joy,Sadness,741977462028926976,62650,6638,154696,0.9947793186858032,false
ObjectId("5cf6de746b361d31fc1b34cd"),23,514,616,78,9,Fear,Surprise,Fear,Joy,Fear,Joy,Joy,Fear,1249831310,57737,45195,125873,0.8419765762236604,false
ObjectId("5cf6de746b361d31fc1b34ce"),24,187,270,13,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Surprise,1459232030,58660,2896,35994,1.0686697677696617,false
ObjectId("5cf6de746b361d31fc1b34cf"),25,72,138,13,2,Joy,Fear,Joy,Fear,Joy,Surprise,Fear,Joy,5691492,48025,886,90523,1.1858072413090113,true
ObjectId("5cf6de746b361d31fc1b34d0"),26,47,85,15,2,Fear,Surprise,Fear,Joy,Joy,Fear,Joy,Fear,259827929,1583,4091,40686,0.693798751196931,false
ObjectId("5cf6de746b361d31fc1b34d1"),27,945,929,123,10,Joy,Fear,Fear,Joy,Fear,Joy,Joy,Fear,883334230968684544,30142,30322,210798,0.8171055523594706,false
ObjectId("5cf6de746b361d31fc1b34d2"),28,775,1996,75,1,Joy,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,10111462,65506,597,110243,1.275263113502756,true
ObjectId("5cf6de746b361d31fc1b34d3"),29,282,439,24,9,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,4415520503,14200,619,5534,1.0949077171862518,false
ObjectId("5cf6de746b361d31fc1b34d4"),30,14,56,9,1,Joy,Fear,Fear,Joy,Fear,Joy,Joy,Fear,1897470739,4715,1292,13244,0.8934660751027279,false
ObjectId("5cf6de746b361d31fc1b34d5"),31,65,199,12,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Surprise,4848860457,4888,686,2706,0.9614963863499455,false
ObjectId("5cf6de746b361d31fc1b34d6"),32,701,1017,82,23,Fear,Joy,Fear,Joy,Joy,Fear,Joy,Fear,703990775223169025,49465,2271,73724,1.0775635433488457,false
ObjectId("5cf6de746b361d31fc1b34d7"),33,1471,1516,57,1,Fear,Joy,Joy,Surprise,Joy,Surprise,Joy,Surprise,741977462028926976,62650,6638,154696,0.9947793186858032,false
ObjectId("5cf6de746b361d31fc1b34d8"),34,432,424,40,8,Joy,Fear,Joy,Surprise,Joy,Surprise,Surprise,Joy,924462918988632064,17635,12035,55066,0.8358261953264522,false
ObjectId("5cf6de746b361d31fc1b34d9"),35,74,321,14,1,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Surprise,122898022,1712,835,3352,0.8244740674569964,false
ObjectId("5cf6de746b361d31fc1b34da"),36,8,23,7,8,Fear,Joy,Fear,Joy,Fear,Joy,Joy,Fear,814730968682680320,2435,3666,9539,0.741990927167157,false
ObjectId("5cf6de746b361d31fc1b34db"),37,1568,2293,65,1,Joy,Fear,Joy,Surprise,Joy,Surprise,Joy,Surprise,250386727,222423,8422,18731,1.0856192647449565,true
ObjectId("5cf6de746b361d31fc1b34dc"),38,192,231,34,8,Joy,Fear,Joy,Fear,Joy,Fear,Fear,Joy,928587764530065408,9781,0,38363,3.9904276584852636,false
ObjectId("5cf6de746b361d31fc1b34dd"),39,27,38,7,7,Fear,Surprise,Fear,Joy,Fear,Joy,Fear,Surprise,959842754674216960,1628,89,1606,1.0872232303359848,false
ObjectId("5cf6de746b361d31fc1b34de"),40,468,414,41,2,Fear,Joy,Joy,Surprise,Joy,Surprise,Joy,Surprise,795152429373222912,3942,3,3490,2.244501951573367,false
ObjectId("5cf6de746b361d31fc1b34df"),41,432,515,38,2,Joy,Surprise,Joy,,Joy,Fear,Joy,Surprise,954589053097189376,27400,1755,5306,1.0455273377731458,false
ObjectId("5cf6de746b361d31fc1b34e0"),42,12,0,10,32,Fear,Sadness,Joy,Fear,Joy,Surprise,Joy,Surprise,1608199141,4279,4937,91557,0.7737092241645663,false
ObjectId("5cf6de746b361d31fc1b34e1"),43,91,123,24,13,Joy,Fear,Joy,Surprise,Joy,Surprise,Surprise,Joy,971355728320479233,3751,4686,9888,0.765220127036531,false
ObjectId("5cf6de746b361d31fc1b34e2"),44,42,49,8,10,Fear,Anger,Joy,Fear,Joy,Fear,Joy,Surprise,26539922,9215,9216,16279,0.798563989270986,false
ObjectId("5cf6de746b361d31fc1b34e3"),45,779,1106,152,11,Joy,Fear,Joy,Fear,Fear,Joy,Fear,Joy,1249831310,57737,45195,125873,0.8419765762236604,false
ObjectId("5cf6de746b361d31fc1b34e4"),46,4016,4206,136,15,Joy,Surprise,Fear,Joy,Joy,Fear,Fear,Joy,741977462028926976,62650,6638,154696,0.9947793186858032,false
ObjectId("5cf6de746b361d31fc1b34e5"),47,34,47,6,11,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,2317865498,14776,13141,12220,0.8145852785108165,false
ObjectId("5cf6de746b361d31fc1b34e6"),48,48,84,9,1,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,5743162,76021,548,22049,1.305213227966018,true
ObjectId("5cf6de746b361d31fc1b34e7"),49,1506,7363,103,0,Joy,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,862493306382626818,301383,794,27101,1.404770374646918,true
ObjectId("5cf6de746b361d31fc1b34e8"),50,344,469,27,3,Surprise,Joy,Joy,Surprise,Joy,Fear,Joy,Surprise,141161261,2527,1258,81476,0.8299404183302107,false
ObjectId("5cf6de746b361d31fc1b34e9"),51,9,7,9,14,Joy,Fear,Joy,Surprise,Joy,Surprise,Joy,Fear,941163760252866562,6064,6671,6561,0.7841272883727834,false
ObjectId("5cf6de746b361d31fc1b34ea"),52,24,74,11,2,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,Joy,1670813678,1182,1146,5459,0.7569741935985363,false
ObjectId("5cf6de746b361d31fc1b34eb"),53,329,370,14,1,Fear,Joy,Joy,Fear,Joy,Fear,Fear,Joy,932549868131901440,19829,524,5926,1.1551448106727389,false
ObjectId("5cf6de746b361d31fc1b34ec"),54,31,46,14,45,Fear,Surprise,Fear,Joy,Fear,Joy,Fear,Joy,749684424,3785,3969,6802,0.7780699304231409,false
ObjectId("5cf6de746b361d31fc1b34ed"),55,2,10,7,3,Joy,Fear,Joy,Surprise,Joy,Fear,Joy,Surprise,900271822465380352,9786,892,18550,1.010073304411577,false
ObjectId("5cf6de746b361d31fc1b34ee"),56,2663,4440,82,0,Joy,Fear,Sadness,Joy,Sadness,Surprise,Sadness,Surprise,722242009,288150,2895,8943,1.2236366256133913,true
ObjectId("5cf6de746b361d31fc1b34ef"),57,65,84,11,6,Anger,Fear,Joy,Fear,Joy,Surprise,Joy,Surprise,3213896841,3273,3014,40270,0.7847406131208424,false
ObjectId("5cf6de746b361d31fc1b34f0"),58,7282,10290,96,5,Sadness,Fear,Fear,Joy,Fear,Joy,Fear,Sadness,997682274,79012,51828,39155,0.8570541836945618,false
ObjectId("5cf6de746b361d31fc1b34f1"),59,21,68,14,4,Anger,Joy,Joy,Anger,Joy,Fear,Joy,Fear,2476178880,16357,8250,247087,0.8570577765313887,false
ObjectId("5cf6de746b361d31fc1b34f2"),60,900,3225,94,1,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,19346439,288502,23404,146343,1.0169186936463472,true
ObjectId("5cf6de746b361d31fc1b34f3"),61,347,1111,35,1,Fear,Joy,Fear,Joy,Fear,Joy,Fear,Surprise,1389203360,33786,292,5437,1.3062943635976725,false
ObjectId("5cf6de746b361d31fc1b34f4"),62,352,815,51,5,Fear,Joy,Joy,Fear,Joy,Fear,Joy,Fear,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b34f5"),63,390,562,79,7,Joy,Fear,Fear,Joy,Joy,Fear,Joy,Fear,941729680381550592,116942,777,18076,1.302493139452282,false
ObjectId("5cf6de746b361d31fc1b34f6"),64,1837,2420,167,6,Joy,Anger,Joy,,Joy,Surprise,Joy,Surprise,751630650,35866,8708,11715,0.9220089654214533,false
ObjectId("5cf6de746b361d31fc1b34f7"),65,34,210,21,1,Joy,Fear,Joy,Anger,Joy,Fear,Joy,Anger,116154256,4206,956,15593,0.9103372716254604,false
ObjectId("5cf6de746b361d31fc1b34f8"),66,3827,6289,436,2,Joy,Fear,Fear,Joy,Joy,Fear,Fear,Joy,9427572,133320,14423,39842,0.993373408952516,false
ObjectId("5cf6de746b361d31fc1b34f9"),67,58,285,17,1,Joy,Fear,Joy,,Joy,Fear,Joy,Anger,548531623,9289,164,11181,1.233266671347168,false
ObjectId("5cf6de746b361d31fc1b34fa"),68,29,54,9,10,Fear,Joy,Fear,Joy,Fear,Joy,Fear,Joy,948772260986458112,709,480,1007,0.7743470964829523,false
ObjectId("5cf6de746b361d31fc1b34fb"),69,117,426,35,6,Joy,Fear,Joy,Anger,Joy,Fear,Fear,Joy,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b34fc"),70,2513,4003,101,1,Anger,Sadness,Fear,Joy,Joy,Fear,Disgust,Joy,45715838,50316,3849,200702,1.0253527436072831,true
ObjectId("5cf6de746b361d31fc1b34fd"),71,1443,1732,42,9,Joy,Fear,Joy,Sadness,Joy,Fear,Joy,Sadness,179732982,182245,132018,73609,0.8594952596275024,false
ObjectId("5cf6de746b361d31fc1b34fe"),72,496,757,39,10,Fear,Disgust,Fear,Joy,Fear,Joy,Fear,Joy,138168339,82272,3080,342563,1.0950311725658972,false
ObjectId("5cf6de746b361d31fc1b34ff"),73,116,114,13,4,Joy,Fear,Joy,Surprise,Joy,Surprise,Joy,Surprise,466953226,36637,34834,53736,0.8235147482026252,false
ObjectId("5cf6de746b361d31fc1b3500"),74,356,704,33,2,Joy,Fear,Joy,Fear,Joy,Fear,Fear,Joy,15384720,38663,4112,37503,0.9941805366765967,true
ObjectId("5cf6de746b361d31fc1b3501"),75,3149,5228,210,4,Surprise,Disgust,Surprise,Joy,Joy,Surprise,Joy,Surprise,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b3502"),76,400,869,28,3,Joy,Sadness,Joy,Fear,Joy,Fear,Joy,Anger,466183294,33169,6307,104356,0.9418432265816142,false
ObjectId("5cf6de746b361d31fc1b3503"),77,77,60,9,8,Surprise,Joy,Joy,Fear,Joy,Fear,Joy,Fear,799994953137057792,4987,1633,27951,0.8776893475619979,false
ObjectId("5cf6de746b361d31fc1b3504"),78,521,689,28,3,Joy,Surprise,Fear,Joy,Joy,Fear,Joy,Fear,56687115,27407,1950,86528,1.0344082107336539,true
ObjectId("5cf6de746b361d31fc1b3505"),79,1147,2362,85,6,Disgust,Fear,Fear,Joy,Joy,Disgust,Joy,Disgust,464419646,16544,1086,29369,1.0451999137851007,true
ObjectId("5cf6de746b361d31fc1b3506"),80,155,519,19,2,Joy,Fear,Joy,Surprise,Joy,Fear,Joy,Fear,1475038004,18298,662,25112,1.1153767546447413,false
ObjectId("5cf6de746b361d31fc1b3507"),81,419,332,7,4,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,21179585,65381,19,10177,2.0927402990638524,false
ObjectId("5cf6de746b361d31fc1b3508"),82,287,415,33,25,Fear,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,1623794972,11222,39,10786,1.5565009939878032,false
ObjectId("5cf6de746b361d31fc1b3509"),83,197,1198,84,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,141376289,28926,2703,48406,1.0066102581489822,true
ObjectId("5cf6de746b361d31fc1b350a"),84,3121,8780,125,0,Fear,Joy,Fear,Joy,Fear,Joy,Joy,Fear,2181299862,19122,1391,32702,1.0332839762172696,true
ObjectId("5cf6de746b361d31fc1b350b"),85,2382,3220,95,3,Joy,Anger,Joy,Fear,Joy,Fear,Joy,Surprise,714128911823724545,30453,1873,24335,1.0493531777403315,false
ObjectId("5cf6de746b361d31fc1b350c"),86,414,1132,123,3,Anger,Joy,Joy,Fear,Joy,Fear,Joy,Fear,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b350d"),87,2722,5683,453,8,Joy,Sadness,Joy,Fear,Joy,Fear,Joy,Sadness,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b350e"),88,2158,4310,241,0,Fear,Disgust,Joy,Fear,Joy,Fear,Fear,Joy,125604902,7962,3671,12828,0.8545804797114865,false
ObjectId("5cf6de746b361d31fc1b350f"),89,2123,3487,114,13,Joy,Fear,Fear,Joy,Joy,Fear,Joy,Fear,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b3510"),90,1268,6642,189,0,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,14211946,169745,8889,59603,1.0567596209594927,true
ObjectId("5cf6de746b361d31fc1b3511"),91,204,177,18,5,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Anger,15117196,12069,11535,51017,0.8063340028170753,false
ObjectId("5cf6de746b361d31fc1b3512"),92,37,103,17,6,Joy,Fear,Joy,Fear,Joy,Fear,Fear,Joy,182980233,4136,661,7760,0.9465637118394634,false
ObjectId("5cf6de746b361d31fc1b3513"),93,483,993,65,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,19750159,74276,5401,27402,1.0292230701968113,true
ObjectId("5cf6de746b361d31fc1b3514"),94,2876,6680,144,12,Joy,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b3515"),95,5238,8428,232,3,Joy,Fear,Fear,Joy,Joy,Fear,Joy,Fear,714128911823724545,30453,1873,24335,1.0493531777403315,false
ObjectId("5cf6de746b361d31fc1b3516"),96,1941,4838,161,10,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b3517"),97,3256,5095,376,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,9427572,133320,14423,39842,0.993373408952516,false
ObjectId("5cf6de746b361d31fc1b3518"),98,219,793,54,5,Fear,Joy,Fear,Joy,Fear,Surprise,Fear,Surprise,824787330493972480,39117,3671,56684,1.0060185225831288,false
ObjectId("5cf6de746b361d31fc1b3519"),99,1316,1699,80,21,Fear,Joy,Joy,Anger,Joy,Fear,Joy,Fear,815708250217840640,64892,32956,119855,0.8720992184208249,false
ObjectId("5cf6de746b361d31fc1b351a"),100,2026,3981,204,4,Joy,Anger,Joy,Fear,Joy,Fear,Fear,Joy,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b351b"),101,73,135,31,7,Joy,Fear,Joy,Fear,Joy,Fear,Fear,Joy,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b351c"),102,2560,5660,165,11,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Surprise,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b351d"),103,1200,2706,101,35,Fear,Joy,Joy,Fear,Joy,Fear,Joy,Fear,1128372518,11232,212,3397,1.2169572709492205,true
ObjectId("5cf6de746b361d31fc1b351e"),104,37,95,13,18,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Disgust,312331735,7481,4576,34612,0.8312306505680942,false
ObjectId("5cf6de746b361d31fc1b351f"),105,1650,3634,134,9,Joy,Surprise,Joy,Fear,Joy,Fear,Joy,Fear,1651522832,158938,311,58134,1.4885519046962576,true
ObjectId("5cf6de746b361d31fc1b3520"),106,595,753,58,3,Joy,Fear,Fear,Joy,Joy,Fear,Joy,Fear,798626712892350464,5287,5603,28789,0.7840987502153125,false
ObjectId("5cf6de746b361d31fc1b3521"),107,10,42,14,23,Joy,Sadness,Joy,Fear,Joy,Fear,Joy,Fear,2706264739,1508,1735,7866,0.7497704824995962,false
ObjectId("5cf6de746b361d31fc1b3522"),108,201,206,42,6,Joy,Fear,Joy,Surprise,Joy,Surprise,Joy,Surprise,48499287,7099,7788,37331,0.7873398250055945,false
ObjectId("5cf6de746b361d31fc1b3523"),109,192,280,53,6,Sadness,Joy,Surprise,Fear,Fear,Surprise,Fear,Surprise,2331853451,7049,5539,144999,0.8112535459725593,false
ObjectId("5cf6de746b361d31fc1b3524"),110,86,189,29,2,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,829353948943351809,9124,8988,47427,0.7994476401624158,false
ObjectId("5cf6de746b361d31fc1b3525"),111,37,57,16,5,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,146456142,34111,14202,48494,0.8797695640516863,false
ObjectId("5cf6de746b361d31fc1b3526"),112,764,1128,65,3,Fear,Anger,Joy,Surprise,Joy,Surprise,Joy,Fear,19422491,60227,9577,115581,0.9595532473626968,true
ObjectId("5cf6de746b361d31fc1b3527"),113,93,81,17,3,Joy,Anger,Joy,Fear,Joy,Fear,Joy,Fear,838225775287414784,141,219,508,0.6439306305370129,false
ObjectId("5cf6de746b361d31fc1b3528"),114,45,129,25,4,Anger,Disgust,Fear,Joy,Fear,Anger,Fear,Anger,56649139,6242,1374,11592,0.9171376798060378,false
ObjectId("5cf6de746b361d31fc1b3529"),115,5180,6125,243,23,Fear,Joy,Fear,Joy,Fear,Surprise,Fear,Surprise,741977462028926976,62650,6638,154696,0.9947793186858032,false
ObjectId("5cf6de746b361d31fc1b352a"),116,192,411,40,3,Disgust,Fear,Joy,Anger,Joy,Fear,Joy,Disgust,4311670299,56320,1,60539,3.6514687386863263,false
ObjectId("5cf6de746b361d31fc1b352b"),117,1,26,11,11,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Sadness,928472762963890176,8350,9010,27167,0.7915071975739881,false
ObjectId("5cf6de746b361d31fc1b352c"),118,472,973,39,5,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Disgust,734348794611916800,17968,4076,78097,0.9228220157606568,false
ObjectId("5cf6de746b361d31fc1b352d"),119,493,746,29,2,Sadness,Surprise,Fear,Surprise,Joy,Fear,Joy,Sadness,19422491,60227,9577,115581,0.9595532473626968,true
ObjectId("5cf6de746b361d31fc1b352e"),120,1995,3267,120,24,Fear,Sadness,Fear,Joy,Joy,Fear,Joy,Fear,815708250217840640,64892,32956,119855,0.8720992184208249,false
ObjectId("5cf6de746b361d31fc1b352f"),121,22,68,20,37,Sadness,Surprise,Fear,Joy,Fear,Joy,Fear,Joy,1623794972,11222,39,10786,1.5565009939878032,false
ObjectId("5cf6de746b361d31fc1b3530"),122,291,370,34,37,Fear,Surprise,Fear,Joy,Joy,Fear,Surprise,Joy,1623794972,11222,39,10786,1.5565009939878032,false
ObjectId("5cf6de746b361d31fc1b3531"),123,276,280,29,21,Joy,Disgust,Joy,Fear,Joy,Fear,Joy,Fear,2942765893,10213,9645,5853,0.8043572500727707,false
ObjectId("5cf6de746b361d31fc1b3532"),124,140,202,14,17,Joy,Fear,Joy,Surprise,Joy,Fear,Joy,Surprise,770537353064517633,24071,462,12755,1.1953117897185659,false
ObjectId("5cf6de746b361d31fc1b3533"),125,15,42,13,6,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,1520011026,3536,248,5842,1.0448842064731478,false
ObjectId("5cf6de746b361d31fc1b3534"),126,85,219,27,3,Joy,Fear,Joy,Fear,Joy,Fear,Joy,Fear,43216109,4522,857,9340,0.9293093685692669,false
ObjectId("5cf6de746b361d31fc1b3535"),127,5524,6919,180,38,Fear,Joy,Joy,Fear,Joy,Fear,Fear,Joy,741977462028926976,62650,6638,154696,0.9947793186858032,false
ObjectId("5cf6de746b361d31fc1b3536"),128,217,796,36,1,Fear,Joy,Joy,Fear,Joy,Fear,Sadness,Joy,885894744097804288,648,755,721,0.7250815761980148,false
ObjectId("5cf6de746b361d31fc1b3537"),129,1226,2535,112,5,Fear,Joy,Joy,Fear,Joy,Fear,Joy,Fear,938139949710405633,38539,6586,39448,0.9516930813158719,false
ObjectId("5cf6de746b361d31fc1b3538"),130,139,288,48,6,Joy,Fear,Fear,Joy,Fear,Joy,Fear,Joy,1683989281,2999,2275,8240,0.798022444156645,false
ObjectId("5cf6de746b361d31fc1b3539"),131,174,219,23,6,Surprise,Fear,Fear,Joy,Joy,Fear,Joy,Disgust,962323206307684358,7368,4775,2385,0.8265346004210499,false
ObjectId("5cf6de746b361d31fc1b353a"),132,585,1267,47,2,Joy,Fear,Joy,Surprise,Joy,Surprise,Joy,Surprise,57029492,32005,760,32045,1.1607278843243072,false
ObjectId("5cf6de746b361d31fc1b353b"),133,870,3796,117,1,Fear,Sadness,Joy,Fear,Joy,Fear,Fear,Joy,95066790,21759,113,6198,1.418970855154267,false
